topic,score,label
0,0.023,名様 
0, 0.018,キャンペーン 
0, 0.011,アメブロ 
0, 0.010,写真 
0, 0.009,世界 
0, 0.008,映画 
0, 0.008,クイズ 
0, 0.008,抽選 
0, 0.008,テーマ 
0, 0.008,フォロー
1,0.388,"
 "
1, 0.036,今日 
1, 0.017,"一回
 "
1, 0.014,結果 
1, 0.012,"名様
 "
1, 0.009,ライブ 
1, 0.007,友達 
1, 0.007,商品 
1, 0.006,心 
1, 0.006,子供
2,0.054,前日比 
2, 0.032,プレゼント 
2, 0.023,リプライ 
2, 0.020,彼氏 
2, 0.018,"前日比
 "
2, 0.018,度 ツイート数 
2, 0.018,仕事 
2, 0.013,続き 
2, 0.011,コチラ 
2, 0.010,クーポン
3,0.039,一緒 
3, 0.017,id 
3, 0.015,dokidoki live 
3, 0.011,モンスト 
3, 0.011,昨日 
3, 0.009,フォロー 
3, 0.009,チャンス 
3, 0.009,ツイート 
3, 0.008,応募 
3, 0.006,位
4,0.043,名様 
4, 0.038,抽選 
4, 0.018,朝 
4, 0.014,フォロー 
4, 0.013,"プレゼント
 "
4, 0.010,ツイート 
4, 0.009,日本 
4, 0.009,投稿 
4, 0.009,茶 
4, 0.008,アメリカン
5,0.023,明日 
5, 0.021,本田 
5, 0.017,計 
5, 0.015,本田圭佑 
5, 0.015,ペプシ ジャパンコーラ ケース 
5, 0.015,サッポロ 
5, 0.015,名様 
5, 0.013,コイン 
5, 0.013,コイントス 
5, 0.012,コイントス勝負
6,0.014,lineポイント 
6, 0.012,"socialpost
 "
6, 0.011,息子 
6, 0.010,家族 
6, 0.010,香り 
6, 0.009,猫 
6, 0.008,歌 
6, 0.007,twitter 
6, 0.007,"д
 "
6, 0.007,最大
7,0.020,"ライブ
 "
7, 0.015,生配信 
7, 0.013,今日 
7, 0.013,今年 
7, 0.012,"楽しみ
 "
7, 0.011,"☺
 "
7, 0.010,周年 
7, 0.010,久しぶり 
7, 0.009,マック 
7, 0.009,動画
8,0.039,無料 
8, 0.020,"lineマンガ
 "
8, 0.019,円分 
8, 0.018,lineマンガ 
8, 0.015,抽選 
8, 0.014,人気マンガ 
8, 0.013,無料連載 
8, 0.013,❗ 
8, 0.010,amazonギフト券 
8, 0.009,"❗
"
9,0.026,ファミマ 
9, 0.026,カフェラテ 
9, 0.023,"ラテ
 "
9, 0.022,泡 ファミマ 
9, 0.019,"peing 質問箱
 "
9, 0.017,綾鷹 
9, 0.013,検索 
9, 0.013,交換 
9, 0.012,特保 
9, 0.011,"お願い
"
