topic,score,label
0,0.233,"
 "
0, 0.012,応募方法 
0, 0.009,最後 
0, 0.006,周年 
0, 0.006,ライブ 
0, 0.006,ご飯 
0, 0.006,番 
0, 0.005,今年 
0, 0.005,チャレンジ 
0, 0.005,"一緒
"
1,0.037,アメブロ 
1, 0.016,❗ 
1, 0.014,電車 
1, 0.014,今日 
1, 0.012,リプ 
1, 0.010,子供 
1, 0.009,"peing 質問箱
 "
1, 0.008,詳細 
1, 0.007,ユースキン 
1, 0.007,旦那
2,0.014,本田 
2, 0.013,計 
2, 0.013,ペプシ ジャパンコーラ ケース 
2, 0.013,本田圭佑 
2, 0.012,昨日 
2, 0.012,"名様
 "
2, 0.012,夜 
2, 0.011,wチャンス 
2, 0.011,コイントス勝負 
2, 0.011,コイン
3,0.026,朝 
3, 0.019,名様 
3, 0.011,香り 
3, 0.011,キャンペーン 
3, 0.010,総計 
3, 0.010,サントリー天然水フレーバーウォーター 
3, 0.010,気持ち 
3, 0.009,抽選 
3, 0.009,"オレンジ ヨーグリーナ
 "
3, 0.009,熱中症対策 朝
4,0.062,今日 
4, 0.010,"仕事
 "
4, 0.008,日金 
4, 0.008,お茶 
4, 0.007,チケット 
4, 0.007,"д
 "
4, 0.006,"実施中
 "
4, 0.006,子育て 
4, 0.006,最近 
4, 0.005,＼
5,0.019,息子 
5, 0.014,明日 
5, 0.013,クイズ 
5, 0.012,台風 
5, 0.011,キャンペーン 
5, 0.011,夢 
5, 0.011,味 
5, 0.009,amazonギフト券 
5, 0.009,円分 
5, 0.009,新
6,0.020,フォロー 
6, 0.012,ツイート 
6, 0.012,朝 
6, 0.012,雨 
6, 0.008,アニメ 
6, 0.008,髪 
6, 0.008,茶事 
6, 0.008,茶 
6, 0.007,投稿 
6, 0.007,アキュアパス
7,0.051,抽選 
7, 0.044,名様 
7, 0.021,プレゼント 
7, 0.014,ツイート 
7, 0.013,応募 
7, 0.012,写真 
7, 0.011,くじ 
7, 0.008,"プレゼント
 "
7, 0.007,"写真
 "
7, 0.007,豪華賞品
8,0.018,キャラ 
8, 0.016,line point 
8, 0.016,投票 烏龍茶キャラクター総選挙 キャンペーン 
8, 0.016,suntoryoolong 
8, 0.015,"ポイント
 "
8, 0.015,日本 
8, 0.012,オレンジ派 
8, 0.010,"楽しみ
 "
8, 0.010,特保 
8, 0.010,twitter
9,0.027,ファミマ 
9, 0.025,"ラテ
 "
9, 0.023,泡 ファミマ 
9, 0.023,カフェラテ 
9, 0.011,犬 
9, 0.011,チャンス 
9, 0.007,bbcトーナメントキャンペーン 
9, 0.007,車 
9, 0.007,フォロー 
9, 0.006,アカウント
